feature name,comments,ML comments,Missingness cause
parent2_panicagor,,,"Rarely available, but important; it only exist when both parents were included in the study"
parent2_gad,,,"Rarely available, but important; it only exist when both parents were included in the study"
parent2_ocd,,,"Rarely available, but important; it only exist when both parents were included in the study"
parent2_ptsd,,,"Rarely available, but important; it only exist when both parents were included in the study"
parent2_dysthymia,,,"Rarely available, but important; it only exist when both parents were included in the study"
parent2_mdd,,,"Rarely available, but important; it only exist when both parents were included in the study"
parent2_adhd,,,"Rarely available, but important; it only exist when both parents were included in the study"
parent2_subuse,,,"Rarely available, but important; it only exist when both parents were included in the study"
parent2_other,,,"Rarely available, but important; it only exist when both parents were included in the study"
POST-TREATMENT DIAGNOSTIC INFORMATION,,,"Rarely available, but important; it only exist when both parents were included in the study"
post_compcsr_sep_dsm4,Composite diagnosis clinical severity rating - Separation Anxiety Disorder, 0-8 (8 means more severe). If it's 888: get max of post_pcsr_sep_dsm4 and post_ccsr_sep_dsm4,"Predicting only yellow soc, sep and gad and they are missing randomly"
post_compcsr_soc_dsm4,,If it's 888: get max of post_pcsr_soc_dsm4 and post_ccsr_soc_dsm4,
post_compcsr_sp_dsm4,,If 888: compose as a max of all post_ccsr_spX_dsm4 and all post_pcsr_spX_dsm4,
post_compcsr_panic_dsm4,,If it's 888: get max of post_pcsr_panic_dsm4 and post_ccsr_panic_dsm4,
post_compcsr_agor_dsm4,,This and next columns should be combined in the same way the above column is combined,
post_compcsr_panicagor_dsm4,,,
post_compcsr_gad_dsm4,,,
post_compcsr_ocd_dsm4,,,
post_compcsr_ptsd_dsm4,,,
post_compcsr_dysthymia_dsm4,,,
post_compcsr_mdd_dsm4,,,
post_compcsr_adhd_dsm4,,,
post_compcsr_cd_dsm4,,,
post_compcsr_odd_dsm4,,,
post_compcsr_sm_dsm4,,,
post_compcsr_enur_dsm4,,,
post_compcsr_slpterr_dsm4,,,
post_compcsr_subabuse_dsm4,,,
post_compcsr_bp_dsm4,,,
post_compcsr_sz_dsm4,,,
post_compcsr_eatingdo_dsm4,,,
post_compcsr_mddpast_dsm4,,,
post_compcsr_dysthymiapast_dsm4,,,
post_compcsr_pdd_dsm4,,,
post_compcsr_tour_dsm4,,,
